target_id,speaker,sex,dob,city_born,lexset,word,start,end,pre_seg,fol_seg,F1,F2,F3
3087,GraceG,F,1994,Manchester,TRAP,had,1077.873,1077.933,HH,D,516.6,1920.5,3371.4
3088,GraceG,F,1994,Manchester,PALM,our,1078.333,1078.493,AH0,R,818.2,1364.8,2809.8
3089,GraceG,F,1994,Manchester,MOUTH,our,1081.133,1081.333,AH0,ER0,757.3,1383.5,2973.5
3090,GraceG,F,1994,Manchester,NORTH,water,1090.448,1090.548,W,T,863.5,1285.2,3011.3
3091,GraceG,F,1994,Manchester,FACE,day,1091.477,1091.727,D,SP,738.6,1888.6,2912.5
3092,GraceG,F,1994,Manchester,FOOT,took,1093.537,1093.597,T,K,585.3,1311.1,2790.2
3093,GraceG,F,1994,Manchester,STRUT,one,1094.848,1094.908,W,N,721.8,1329.9,2424.3
3094,GraceG,F,1994,Manchester,DRESS,friends,1095.228,1095.298,R,N,654.5,1733.7,2907.9
3095,GraceG,F,1994,Manchester,DRESS,scared,1096.118,1096.278,K,R,798.9,1913,2881.4
3096,GraceG,F,1994,Manchester,KIT,didn't,1098.583,1098.623,D,N,504.3,1773.2,2289
3097,GraceG,F,1994,Manchester,STRUT,come,1099.132,1099.212,K,M,637,1382.6,2654.2
3098,GraceG,F,1994,Manchester,FLEECE,she,1099.382,1099.422,SH,S,376.8,1996.8,3329.4
3099,GraceG,F,1994,Manchester,STRUT,the,1099.722,1099.783,DH,HH,574.7,1298,2836.6
3100,GraceG,F,1994,Manchester,GOAT,whole,1099.842,1099.892,HH,L,555,1031.2,3296
3101,GraceG,F,1994,Manchester,STRUT,sunbathing,1100.253,1100.303,S,N,483.5,1218.5,2566.4
3102,GraceG,F,1994,Manchester,KIT,bit,1101.523,1101.623,B,T,471,1578.1,2449.8
3103,GraceG,F,1994,Manchester,STRUT,but,1102.183,1102.223,B,T,497.8,1231.4,2655.3
3104,GraceG,F,1994,Manchester,TRAP,and,1103.968,1104.088,SP,N,678.1,1823.1,3093.5
3105,GraceG,F,1994,Manchester,FACE,same,1108.837,1108.977,S,M,659.4,2352.2,3246.5
3106,GraceG,F,1994,Manchester,PALM,argument,1109.787,1109.908,N,R,939.7,1674.8,2916.3
3107,GraceG,F,1994,Manchester,KIT,with,1110.218,1110.268,W,TH,579.9,1728.5,2638.8
3108,GraceG,F,1994,Manchester,DRESS,there,1111.658,1111.887,DH,R,744,1695.1,2759.2
3109,GraceG,F,1994,Manchester,STRUT,because,1112.247,1112.468,K,Z,597.7,1899.4,2715
3110,GraceG,F,1994,Manchester,DRESS,went,1114.867,1114.917,W,N,743.4,1635,2761.1
3111,GraceG,F,1994,Manchester,LOT,on,1114.977,1115.007,T,N,782.9,1609.9,2589.7
3112,GraceG,F,1994,Manchester,LOT,*bar,1115.278,1115.477,B,R,850.7,1233.5,2108.4
3113,GraceG,F,1994,Manchester,NORTH,all,1121.177,1121.397,ER0,L,818.9,1451.6,2507.7
3114,GraceG,F,1994,Manchester,STRUT,sudden,1123.407,1123.447,S,D,503.3,1547.7,3326.6
3115,GraceG,F,1994,Manchester,NORTH,wanted,1123.948,1123.997,W,N,669.6,1369.1,2585.3
3116,GraceG,F,1994,Manchester,FLEECE,leave,1124.267,1124.607,L,V,415.7,2584.3,4949.2
3117,GraceG,F,1994,Manchester,FLEECE,she,1125.493,1125.523,SH,HH,707.3,1904.7,3119.2
